Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
2018-07-22,13:10:00,Carlton,Hawthorn,Marvel Stadium,52,124,NA,7,10,18,16,5.47,1.14
2018-07-21,19:25:00,Brisbane,Adelaide,Gabba,88,93,NA,13,10,13,15,2.27,1.62
2018-07-21,19:25:00,Geelong,Melbourne,GMHBA Stadium,100,98,NA,16,4,14,14,1.5,2.55
2018-07-21,16:35:00,Essendon,Fremantle,Marvel Stadium,99,70,NA,13,21,11,4,1.11,6.07
2018-07-21,14:10:00,Sydney,Gold Coast,SCG,64,88,NA,8,16,12,16,1.02,12.27
2018-07-21,13:45:00,Collingwood,North Melbourne,MCG,130,64,NA,20,10,9,10,1.47,2.62
2018-07-20,19:50:00,St Kilda,Richmond,Marvel Stadium,57,111,NA,8,9,16,15,5.23,1.15
2018-07-15,14:40:00,Fremantle,Port Adelaide,Optus Stadium,59,50,NA,8,11,7,8,4.89,1.18
2018-07-15,15:20:00,North Melbourne,Sydney,Marvel Stadium,98,104,NA,15,8,16,8,1.87,1.91
2018-07-15,13:10:00,Collingwood,West Coast,MCG,67,102,NA,9,13,15,12,1.5,2.56
2018-07-14,19:25:00,Gold Coast,Essendon,Metricon Stadium,51,95,NA,6,15,13,17,4.01,1.24
2018-07-14,19:25:00,GWS Giants,Richmond,Spotless Stadium,79,77,NA,11,13,10,17,2.53,1.52
2018-07-14,16:35:00,Melbourne,Western Bulldogs,MCG,119,69,NA,18,11,10,9,1.11,6.4
2018-07-14,13:45:00,Hawthorn,Brisbane,University of Tasmania Stadium,65,98,NA,9,11,15,8,1.22,4.24
2018-07-13,19:50:00,St Kilda,Carlton,Marvel Stadium,116,52,NA,16,20,7,10,1.3,3.51
2018-07-12,19:20:00,Adelaide,Geelong,Adelaide Oval,112,97,NA,16,16,14,13,1.98,1.82
2018-07-08,14:40:00,West Coast,GWS Giants,Optus Stadium,86,75,NA,13,8,10,15,1.6,2.29
2018-07-08,15:20:00,Essendon,Collingwood,MCG,62,78,NA,9,8,12,6,2.32,1.59
2018-07-08,13:10:00,North Melbourne,Gold Coast,Marvel Stadium,95,58,NA,14,11,8,10,1.07,8.1
2018-07-07,19:10:00,Melbourne,Fremantle,TIO Stadium,102,48,NA,13,24,7,6,1.08,7.43
2018-07-07,19:25:00,Western Bulldogs,Hawthorn,Marvel Stadium,59,122,NA,9,5,19,8,2.87,1.4
2018-07-07,16:35:00,Port Adelaide,St Kilda,Adelaide Oval,86,50,NA,12,14,7,8,1.1,6.35
2018-07-07,13:45:00,Brisbane,Carlton,Gabba,120,55,NA,18,12,7,13,1.31,3.42
2018-07-06,19:50:00,Richmond,Adelaide,MCG,103,56,NA,15,13,8,8,1.23,4.02
2018-07-05,19:20:00,Sydney,Geelong,SCG,59,71,NA,9,5,8,23,1.67,2.18
2018-07-01,14:40:00,Fremantle,Brisbane,Optus Stadium,64,119,NA,9,10,18,11,1.28,3.62
2018-07-01,15:20:00,Essendon,North Melbourne,Marvel Stadium,125,108,NA,19,11,16,12,1.94,1.85
2018-07-01,13:10:00,Melbourne,St Kilda,MCG,117,119,NA,18,9,18,11,1.11,6.27
2018-06-30,19:25:00,Gold Coast,Collingwood,Metricon Stadium,60,99,NA,8,12,14,15,7.17,1.09
2018-06-30,19:25:00,GWS Giants,Hawthorn,Spotless Stadium,95,84,NA,13,17,13,6,1.55,2.43
2018-06-30,16:35:00,Adelaide,West Coast,Adelaide Oval,88,78,NA,12,16,12,6,1.45,2.72
2018-06-30,13:45:00,Carlton,Port Adelaide,MCG,69,90,NA,10,9,13,12,6.39,1.11
2018-06-29,19:50:00,Western Bulldogs,Geelong,Marvel Stadium,103,101,NA,16,7,15,11,5.18,1.16
2018-06-28,19:20:00,Richmond,Sydney,Marvel Stadium,93,67,NA,14,9,11,1,1.53,2.5
2018-06-24,15:20:00,Collingwood,Carlton,MCG,79,59,NA,11,13,9,5,1.06,9.25
2018-06-23,19:25:00,Western Bulldogs,North Melbourne,Marvel Stadium,75,77,NA,11,9,12,5,3.85,1.26
2018-06-23,16:35:00,Brisbane,GWS Giants,Gabba,82,109,NA,12,10,16,13,3.46,1.31
2018-06-23,13:45:00,Hawthorn,Gold Coast,University of Tasmania Stadium,96,43,NA,13,18,5,13,1.04,11.21
2018-06-22,19:20:00,Port Adelaide,Melbourne,Adelaide Oval,75,65,NA,11,9,9,11,1.66,2.22
2018-06-21,18:10:00,West Coast,Essendon,Optus Stadium,52,80,NA,6,16,12,8,1.32,3.41
2018-06-17,15:20:00,Geelong,Richmond,MCG,65,83,NA,9,11,12,11,2.39,1.58
2018-06-16,19:25:00,Hawthorn,Adelaide,MCG,88,32,NA,12,16,4,8,1.41,2.9
2018-06-16,16:35:00,Gold Coast,St Kilda,Metricon Stadium,78,80,NA,11,12,11,14,2.46,1.55
2018-06-16,13:45:00,Carlton,Fremantle,Marvel Stadium,46,103,NA,6,10,15,13,2.09,1.74
2018-06-15,19:50:00,Sydney,West Coast,SCG,72,57,NA,10,12,7,15,1.49,2.63
2018-06-14,19:20:00,Port Adelaide,Western Bulldogs,Adelaide Oval,132,75,NA,20,12,11,9,1.1,6.94
2018-06-11,15:20:00,Melbourne,Collingwood,MCG,91,133,NA,14,7,20,13,1.52,2.53
2018-06-10,14:40:00,Fremantle,Adelaide,Optus Stadium,71,68,NA,10,11,9,14,3.61,1.28
2018-06-10,13:10:00,Brisbane,Essendon,Gabba,62,84,NA,8,14,12,12,2.13,1.71
2018-06-09,19:25:00,St Kilda,Sydney,Marvel Stadium,55,126,NA,7,13,19,12,4.46,1.2
2018-06-09,16:35:00,GWS Giants,Gold Coast,Spotless Stadium,134,26,NA,20,14,4,2,1.06,9.35
2018-06-09,13:45:00,Geelong,North Melbourne,GMHBA Stadium,96,59,NA,14,12,8,11,1.43,2.81
2018-06-08,19:20:00,Port Adelaide,Richmond,Adelaide Oval,72,58,NA,10,12,8,10,1.67,2.19
2018-06-03,16:10:00,Adelaide,GWS Giants,Adelaide Oval,81,97,NA,11,15,14,13,1.3,3.55
2018-06-03,15:20:00,Collingwood,Fremantle,MCG,138,77,NA,21,12,12,5,1.13,6.13
2018-06-03,13:10:00,North Melbourne,Brisbane,Marvel Stadium,141,87,NA,21,15,12,15,1.23,4.19
2018-06-02,18:10:00,West Coast,St Kilda,Optus Stadium,101,88,NA,16,5,14,4,1.04,11.02
2018-06-02,19:25:00,Essendon,Richmond,MCG,43,114,NA,6,7,17,12,3.17,1.36
2018-06-02,16:35:00,Gold Coast,Geelong,Metricon Stadium,36,121,NA,4,12,17,19,3.38,1.32
2018-06-02,14:10:00,Hawthorn,Port Adelaide,University of Tasmania Stadium,64,61,NA,9,10,9,7,1.98,1.81
2018-06-02,13:45:00,Western Bulldogs,Melbourne,Marvel Stadium,51,100,NA,7,9,15,10,5.36,1.16
2018-06-01,19:50:00,Sydney,Carlton,SCG,91,61,NA,13,13,9,7,1.05,9.99
2018-05-27,14:40:00,Fremantle,North Melbourne,Optus Stadium,58,86,NA,8,10,12,14,1.88,1.91
2018-05-27,14:50:00,Melbourne,Adelaide,Traeger Park,146,55,NA,23,8,8,7,1.68,2.19
2018-05-27,13:10:00,Hawthorn,West Coast,Marvel Stadium,60,75,NA,9,6,11,9,2.14,1.71
2018-05-26,19:25:00,Geelong,Carlton,GMHBA Stadium,73,45,NA,11,7,5,15,1.07,8.86
2018-05-26,19:25:00,GWS Giants,Essendon,Spotless Stadium,60,95,NA,8,12,14,11,1.38,3.02
2018-05-26,16:35:00,Brisbane,Sydney,Gabba,49,67,NA,6,13,10,7,3.22,1.35
2018-05-26,13:45:00,Richmond,St Kilda,MCG,105,77,NA,15,15,12,5,1.1,7.06
