Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,,
13812,7/05/2011,R7,Richmond,23,10,148,Fremantle,14,15,99,M.C.G.,49,2011,Regular,7,,0
13813,7/05/2011,R7,Gold Coast,18,16,124,Brisbane Lions,17,14,116,Gabba,8,2011,Regular,7,,0
13814,8/05/2011,R7,Essendon,16,10,106,West Coast,12,18,90,Docklands,16,2011,Regular,7,,0
13815,8/05/2011,R7,Melbourne,22,17,149,Adelaide,8,5,53,M.C.G.,96,2011,Regular,7,,0
13816,9/05/2011,R7,St Kilda,12,9,81,Carlton,11,18,84,Docklands,-3,2011,Regular,7,,0
13817,13/05/2011,R8,Geelong,8,17,65,Collingwood,9,8,62,M.C.G.,3,2011,Regular,8,,0
13818,14/05/2011,R8,North Melbourne,19,10,124,Melbourne,12,11,83,Docklands,41,2011,Regular,8,,0
13819,14/05/2011,R8,Adelaide,20,10,130,Gold Coast,9,19,73,Football Park,57,2011,Regular,8,,0
13820,14/05/2011,R8,Brisbane Lions,9,12,66,Essendon,15,12,102,Gabba,-36,2011,Regular,8,,0
13821,14/05/2011,R8,Sydney,18,13,121,Port Adelaide,9,5,59,S.C.G.,62,2011,Regular,8,,0
13822,15/05/2011,R8,Hawthorn,14,15,99,St Kilda,10,9,69,M.C.G.,30,2011,Regular,8,,0
13823,15/05/2011,R8,Footscray,23,15,153,Richmond,18,10,118,Docklands,35,2011,Regular,8,,0
13824,15/05/2011,R8,West Coast,14,12,96,Fremantle,9,9,63,Subiaco,33,2011,Regular,8,,0
13825,20/05/2011,R9,Carlton,14,16,100,Geelong,15,12,102,Docklands,-2,2011,Regular,9,,0
13826,21/05/2011,R9,St Kilda,16,10,106,Melbourne,13,8,86,Docklands,20,2011,Regular,9,,0
13827,21/05/2011,R9,Port Adelaide,14,6,90,Fremantle,21,16,142,Football Park,-52,2011,Regular,9,,0
13828,21/05/2011,R9,Richmond,16,9,105,Essendon,13,11,89,M.C.G.,16,2011,Regular,9,,0
13829,21/05/2011,R9,Brisbane Lions,10,13,73,North Melbourne,8,11,59,Gabba,14,2011,Regular,9,,0
13830,22/05/2011,R9,Collingwood,20,15,135,Adelaide,14,8,92,Docklands,43,2011,Regular,9,,0
13831,22/05/2011,R9,Sydney,8,12,60,Hawthorn,15,16,106,S.C.G.,-46,2011,Regular,9,,0
13832,22/05/2011,R9,West Coast,26,19,175,Footscray,8,4,52,Subiaco,123,2011,Regular,9,,0
13833,27/05/2011,R10,Melbourne,6,10,46,Carlton,13,15,93,M.C.G.,-47,2011,Regular,10,,0
13834,28/05/2011,R10,North Melbourne,9,17,71,Sydney,10,12,72,Docklands,-1,2011,Regular,10,,0
13835,28/05/2011,R10,Fremantle,7,14,56,St Kilda,15,12,102,Subiaco,-46,2011,Regular,10,,0
13836,28/05/2011,R10,Gold Coast,10,13,73,Geelong,21,13,139,Carrara,-66,2011,Regular,10,,0
13837,28/05/2011,R10,Richmond,10,14,74,Port Adelaide,13,11,89,Marrara Oval,-15,2011,Regular,10,,0
13838,29/05/2011,R10,Adelaide,8,13,61,Brisbane Lions,15,11,101,Football Park,-40,2011,Regular,10,,1
13839,29/05/2011,R10,Collingwood,16,9,105,West Coast,7,11,53,M.C.G.,52,2011,Regular,10,,0
13840,29/05/2011,R10,Footscray,9,8,62,Hawthorn,13,13,91,Docklands,-29,2011,Regular,10,,0
13841,3/06/2011,R11,Essendon,10,8,68,Melbourne,15,11,101,M.C.G.,-33,2011,Regular,11,,0
13842,4/06/2011,R11,Geelong,23,10,148,Footscray,13,9,87,Kardinia Park,61,2011,Regular,11,,0
13843,4/06/2011,R11,West Coast,13,7,85,Gold Coast,10,7,67,Subiaco,18,2011,Regular,11,,0
13844,4/06/2011,R11,Collingwood,16,12,108,St Kilda,7,9,51,M.C.G.,57,2011,Regular,11,,0
13845,4/06/2011,R11,Brisbane Lions,7,9,51,Sydney,17,14,116,Gabba,-65,2011,Regular,11,,0
13846,5/06/2011,R11,Hawthorn,17,9,111,Fremantle,13,11,89,M.C.G.,22,2011,Regular,11,,0
13847,5/06/2011,R11,North Melbourne,18,7,115,Adelaide,10,8,68,Docklands,47,2011,Regular,11,,0
13848,5/06/2011,R11,Port Adelaide,7,7,49,Carlton,16,15,111,Football Park,-62,2011,Regular,11,,0
13849,10/06/2011,R12,St Kilda,12,9,81,Footscray,8,9,57,Docklands,24,2011,Regular,12,,0
13850,11/06/2011,R12,Adelaide,10,7,67,West Coast,15,16,106,Football Park,-39,2011,Regular,12,,0
13851,11/06/2011,R12,Geelong,13,10,88,Hawthorn,13,5,83,M.C.G.,5,2011,Regular,12,,0
13852,11/06/2011,R12,Gold Coast,9,9,63,North Melbourne,18,14,122,Carrara,-59,2011,Regular,12,,0
13853,12/06/2011,R12,Carlton,19,10,124,Brisbane Lions,9,9,63,Docklands,61,2011,Regular,12,,0
13854,12/06/2011,R12,Sydney,9,21,75,Richmond,9,11,65,S.C.G.,10,2011,Regular,12,,0
13855,12/06/2011,R12,Fremantle,15,8,98,Essendon,9,10,64,Subiaco,34,2011,Regular,12,,0
13856,13/06/2011,R12,Melbourne,6,5,41,Collingwood,19,15,129,M.C.G.,-88,2011,Regular,12,,0
13857,17/06/2011,R13,Footscray,14,16,100,Adelaide,10,10,70,Docklands,30,2011,Regular,13,,0
13858,18/06/2011,R13,Essendon,12,18,90,North Melbourne,17,9,111,Docklands,-21,2011,Regular,13,,0
13859,18/06/2011,R13,Hawthorn,19,15,129,Gold Coast,8,10,58,York Park,71,2011,Regular,13,,0
13860,18/06/2011,R13,St Kilda,11,6,72,Geelong,15,10,100,M.C.G.,-28,2011,Regular,13,,0
13861,18/06/2011,R13,Brisbane Lions,14,10,94,Richmond,18,17,125,Gabba,-31,2011,Regular,13,,0
13862,19/06/2011,R13,Melbourne,22,17,149,Fremantle,8,12,60,M.C.G.,89,2011,Regular,13,,0
13863,19/06/2011,R13,Carlton,15,10,100,Sydney,10,6,66,Docklands,34,2011,Regular,13,,0
13864,19/06/2011,R13,West Coast,15,20,110,Port Adelaide,13,10,88,Subiaco,22,2011,Regular,13,,0
13865,24/06/2011,R14,Hawthorn,23,8,146,Essendon,12,9,81,M.C.G.,65,2011,Regular,14,,0
13866,25/06/2011,R14,Gold Coast,13,10,88,Footscray,17,8,110,Carrara,-22,2011,Regular,14,,0
13867,25/06/2011,R14,Richmond,13,13,91,Melbourne,17,16,118,M.C.G.,-27,2011,Regular,14,,0
13868,25/06/2011,R14,Sydney,14,9,93,Collingwood,13,21,99,Stadium Australia,-6,2011,Regular,14,,0
13869,25/06/2011,R14,Fremantle,12,16,88,Brisbane Lions,10,5,65,Subiaco,23,2011,Regular,14,,0
13870,26/06/2011,R14,Geelong,19,11,125,Adelaide,10,13,73,Kardinia Park,52,2011,Regular,14,,0
13871,26/06/2011,R14,Carlton,10,7,67,West Coast,15,13,103,Docklands,-36,2011,Regular,14,,0
13872,26/06/2011,R14,Port Adelaide,14,7,91,North Melbourne,21,10,136,Football Park,-45,2011,Regular,14,,0
13873,1/07/2011,R15,Footscray,19,13,127,Melbourne,8,15,63,Docklands,64,2011,Regular,15,,0
13874,2/07/2011,R15,Richmond,12,9,81,Carlton,28,16,184,M.C.G.,-103,2011,Regular,15,,0
13875,2/07/2011,R15,Fremantle,17,10,112,Gold Coast,9,8,62,Subiaco,50,2011,Regular,15,,0
13876,2/07/2011,R15,Essendon,18,7,115,Geelong,16,15,111,Docklands,4,2011,Regular,15,,0
13877,2/07/2011,R15,Adelaide,8,9,57,Sydney,6,14,50,Football Park,7,2011,Regular,15,,0
13878,3/07/2011,R15,Brisbane Lions,15,9,99,Port Adelaide,13,10,88,Gabba,11,2011,Regular,15,,0
13879,3/07/2011,R15,Collingwood,15,16,106,Hawthorn,9,11,65,M.C.G.,41,2011,Regular,15,,0
13880,3/07/2011,R15,North Melbourne,10,10,70,St Kilda,12,7,79,Docklands,-9,2011,Regular,15,,0
13881,8/07/2011,R16,West Coast,14,12,96,Geelong,13,10,88,Subiaco,8,2011,Regular,16,,0
13882,9/07/2011,R16,Hawthorn,16,9,105,Brisbane Lions,9,9,63,York Park,42,2011,Regular,16,,0
13883,9/07/2011,R16,Essendon,15,15,105,Richmond,9,12,66,M.C.G.,39,2011,Regular,16,,0
13884,9/07/2011,R16,Gold Coast,4,12,36,Sydney,15,16,106,Carrara,-70,2011,Regular,16,,0
13885,10/07/2011,R16,Collingwood,22,15,147,North Melbourne,3,12,30,M.C.G.,117,2011,Regular,16,,0
13886,10/07/2011,R16,Port Adelaide,8,5,53,St Kilda,17,7,109,Football Park,-56,2011,Regular,16,,0
13887,10/07/2011,R16,Footscray,14,12,96,Carlton,9,15,69,Docklands,27,2011,Regular,16,,0
13888,15/07/2011,R17,Adelaide,10,13,73,Essendon,12,12,84,Football Park,-11,2011,Regular,17,,0
13889,16/07/2011,R17,Carlton,11,13,79,Collingwood,13,20,98,M.C.G.,-19,2011,Regular,17,,0
13890,16/07/2011,R17,Richmond,9,16,70,Gold Coast,12,13,85,Cazaly's Stadium,-15,2011,Regular,17,,0
13891,16/07/2011,R17,St Kilda,13,4,82,West Coast,9,7,61,Docklands,21,2011,Regular,17,,0
13892,16/07/2011,R17,Melbourne,17,11,113,Port Adelaide,14,8,92,Marrara Oval,21,2011,Regular,17,,0
13893,17/07/2011,R17,Sydney,13,9,87,Fremantle,15,8,98,S.C.G.,-11,2011,Regular,17,,0
13894,17/07/2011,R17,Brisbane Lions,15,14,104,Geelong,20,13,133,Gabba,-29,2011,Regular,17,,0
13895,17/07/2011,R17,North Melbourne,21,16,142,Footscray,17,9,111,Docklands,31,2011,Regular,17,,0
13896,22/07/2011,R18,St Kilda,19,13,127,Adelaide,3,6,24,Docklands,103,2011,Regular,18,,0
13897,23/07/2011,R18,Sydney,16,18,114,Footscray,11,9,75,S.C.G.,39,2011,Regular,18,,0
13898,23/07/2011,R18,North Melbourne,17,20,122,Brisbane Lions,11,11,77,Docklands,45,2011,Regular,18,,0
13899,23/07/2011,R18,Essendon,12,7,79,Carlton,24,9,153,M.C.G.,-74,2011,Regular,18,,0
13900,23/07/2011,R18,Gold Coast,11,9,75,Collingwood,19,15,129,Carrara,-54,2011,Regular,18,,0
13901,24/07/2011,R18,Geelong,17,11,113,Richmond,7,9,51,Docklands,62,2011,Regular,18,,0
13902,24/07/2011,R18,Melbourne,12,6,78,Hawthorn,20,12,132,M.C.G.,-54,2011,Regular,18,,0
13903,24/07/2011,R18,Fremantle,9,10,64,West Coast,8,17,65,Subiaco,-1,2011,Regular,18,,0
13904,29/07/2011,R19,North Melbourne,9,8,62,Carlton,11,14,80,Docklands,-18,2011,Regular,19,,0
13905,30/07/2011,R19,Footscray,15,5,95,West Coast,15,13,103,Docklands,-8,2011,Regular,19,,0
13906,30/07/2011,R19,Geelong,37,11,233,Melbourne,7,5,47,Kardinia Park,186,2011,Regular,19,,0
13907,30/07/2011,R19,Gold Coast,6,18,54,St Kilda,10,14,74,Carrara,-20,2011,Regular,19,,0
13908,30/07/2011,R19,Fremantle,6,8,44,Hawthorn,13,17,95,Subiaco,-51,2011,Regular,19,,0
13909,31/07/2011,R19,Collingwood,25,16,166,Essendon,14,8,92,M.C.G.,74,2011,Regular,19,,0
13910,31/07/2011,R19,Adelaide,16,15,111,Port Adelaide,11,13,79,Football Park,32,2011,Regular,19,,0
13911,5/08/2011,R20,St Kilda,16,17,113,Fremantle,10,12,72,Docklands,41,2011,Regular,20,,0
13912,6/08/2011,R20,Geelong,29,14,188,Gold Coast,6,2,38,Kardinia Park,150,2011,Regular,20,,0
13913,6/08/2011,R20,Carlton,21,8,134,Melbourne,7,16,58,M.C.G.,76,2011,Regular,20,,0
13914,6/08/2011,R20,Essendon,15,10,100,Sydney,14,15,99,Docklands,1,2011,Regular,20,,0
13915,6/08/2011,R20,Port Adelaide,3,3,21,Collingwood,23,21,159,Football Park,-138,2011,Regular,20,,0
13916,7/08/2011,R20,Brisbane Lions,16,9,105,Adelaide,16,14,110,Gabba,-5,2011,Regular,20,,0
13917,7/08/2011,R20,Hawthorn,15,13,103,North Melbourne,13,8,86,York Park,17,2011,Regular,20,,0
13918,7/08/2011,R20,West Coast,22,15,147,Richmond,14,6,90,Subiaco,57,2011,Regular,20,,0
13919,12/08/2011,R21,St Kilda,10,10,70,Collingwood,14,5,89,Docklands,-19,2011,Regular,21,,0
13920,13/08/2011,R21,Hawthorn,31,11,197,Port Adelaide,5,2,32,M.C.G.,165,2011,Regular,21,,0
13921,13/08/2011,R21,Fremantle,12,13,85,Carlton,16,19,115,Subiaco,-30,2011,Regular,21,,0
13922,13/08/2011,R21,Footscray,15,11,101,Essendon,23,12,150,Docklands,-49,2011,Regular,21,,0
13923,13/08/2011,R21,Brisbane Lions,18,15,123,Gold Coast,8,13,61,Gabba,62,2011,Regular,21,,0
13924,14/08/2011,R21,Melbourne,9,8,62,West Coast,16,14,110,Docklands,-48,2011,Regular,21,,0
13925,14/08/2011,R21,Richmond,14,15,99,Sydney,7,14,56,M.C.G.,43,2011,Regular,21,,0
13926,14/08/2011,R21,Adelaide,12,13,85,Geelong,14,12,96,Football Park,-11,2011,Regular,21,,0
13927,19/08/2011,R22,Carlton,8,18,66,Hawthorn,10,18,78,Docklands,-12,2011,Regular,22,,0
13928,20/08/2011,R22,Gold Coast,9,10,64,Adelaide,18,17,125,Carrara,-61,2011,Regular,22,,0
13929,20/08/2011,R22,West Coast,20,14,134,Essendon,11,11,77,Subiaco,57,2011,Regular,22,,0
13930,20/08/2011,R22,Collingwood,14,18,102,Brisbane Lions,13,6,84,M.C.G.,18,2011,Regular,22,,0
13931,20/08/2011,R22,North Melbourne,21,17,143,Fremantle,6,9,45,Docklands,98,2011,Regular,22,,0
13932,21/08/2011,R22,Sydney,10,23,83,St Kilda,10,8,68,Stadium Australia,15,2011,Regular,22,,0
13933,21/08/2011,R22,Port Adelaide,15,7,97,Footscray,24,13,157,Football Park,-60,2011,Regular,22,,0
13934,21/08/2011,R22,Melbourne,17,8,110,Richmond,17,15,117,M.C.G.,-7,2011,Regular,22,,0
13935,26/08/2011,R23,Fremantle,8,4,52,Collingwood,20,12,132,Subiaco,-80,2011,Regular,23,,0
13936,27/08/2011,R23,Hawthorn,16,17,113,Footscray,10,7,67,M.C.G.,46,2011,Regular,23,,0
13937,27/08/2011,R23,Geelong,12,14,86,Sydney,15,9,99,Kardinia Park,-13,2011,Regular,23,,0
13938,27/08/2011,R23,St Kilda,19,21,135,North Melbourne,10,10,70,Docklands,65,2011,Regular,23,,0
13939,27/08/2011,R23,Brisbane Lions,11,15,81,West Coast,13,11,89,Gabba,-8,2011,Regular,23,,0
13940,28/08/2011,R23,Adelaide,15,9,99,Richmond,17,19,121,Football Park,-22,2011,Regular,23,,0
13941,28/08/2011,R23,Melbourne,17,10,112,Gold Coast,12,10,82,M.C.G.,30,2011,Regular,23,,0
13942,28/08/2011,R23,Essendon,17,18,120,Port Adelaide,17,11,113,Docklands,7,2011,Regular,23,,0
13943,2/09/2011,R24,Collingwood,8,5,53,Geelong,22,17,149,M.C.G.,-96,2011,Regular,24,,0
13944,3/09/2011,R24,Gold Coast,14,13,97,Hawthorn,16,10,106,Carrara,-9,2011,Regular,24,,0
13945,3/09/2011,R24,Footscray,15,17,107,Fremantle,8,13,61,Docklands,46,2011,Regular,24,,0
13946,3/09/2011,R24,Sydney,18,11,119,Brisbane Lions,9,13,67,S.C.G.,52,2011,Regular,24,,0
13947,3/09/2011,R24,West Coast,22,13,145,Adelaide,7,8,50,Subiaco,95,2011,Regular,24,,0
13948,3/09/2011,R24,Carlton,9,12,66,St Kilda,13,8,86,M.C.G.,-20,2011,Regular,24,,0
13949,4/09/2011,R24,Port Adelaide,17,10,112,Melbourne,15,14,104,Adelaide Oval,8,2011,Regular,24,,0
13950,4/09/2011,R24,Richmond,13,13,91,North Melbourne,15,14,104,Docklands,-13,2011,Regular,24,,0
13951,9/09/2011,QF,Geelong,14,14,98,Hawthorn,9,13,67,M.C.G.,31,2011,Finals,25,,0
13952,10/09/2011,QF,Collingwood,12,10,82,West Coast,9,8,62,M.C.G.,20,2011,Finals,25,,0
13953,10/09/2011,EF,Sydney,12,10,82,St Kilda,8,9,57,Docklands,25,2011,Finals,25,,0
13954,11/09/2011,EF,Carlton,21,23,149,Essendon,13,9,87,M.C.G.,62,2011,Finals,25,,0
13955,16/09/2011,SF,Hawthorn,19,8,122,Sydney,13,8,86,M.C.G.,36,2011,Finals,26,,0
13956,17/09/2011,SF,West Coast,15,11,101,Carlton,15,8,98,Subiaco,3,2011,Finals,26,,0
13957,23/09/2011,PF,Collingwood,10,8,68,Hawthorn,9,11,65,M.C.G.,3,2011,Finals,27,,0
13958,24/09/2011,PF,Geelong,17,15,117,West Coast,10,9,69,M.C.G.,48,2011,Finals,27,,0
13959,1/10/2011,GF,Geelong,18,11,119,Collingwood,12,9,81,M.C.G.,38,2011,Finals,28,,0
13960,24/03/2012,R1,GWS,5,7,37,Sydney,14,16,100,Stadium Australia,-63,2012,Regular,1,,0
13961,29/03/2012,R1,Richmond,12,9,81,Carlton,18,17,125,M.C.G.,-44,2012,Regular,1,,0
13962,30/03/2012,R1,Hawthorn,20,17,137,Collingwood,16,19,115,M.C.G.,22,2012,Regular,1,,0
13963,31/03/2012,R1,Melbourne,11,12,78,Brisbane Lions,17,17,119,M.C.G.,-41,2012,Regular,1,,0
13964,31/03/2012,R1,Gold Coast,10,8,68,Adelaide,19,23,137,Carrara,-69,2012,Regular,1,,0
13965,31/03/2012,R1,North Melbourne,15,12,102,Essendon,14,20,104,Docklands,-2,2012,Regular,1,,0
13966,31/03/2012,R1,Fremantle,16,9,105,Geelong,15,11,101,Subiaco,4,2012,Regular,1,,0
13967,1/04/2012,R1,Footscray,12,15,87,West Coast,21,10,136,Docklands,-49,2012,Regular,1,,0
13968,1/04/2012,R1,Port Adelaide,13,11,89,St Kilda,13,7,85,Football Park,4,2012,Regular,1,,0
13969,5/04/2012,R2,Brisbane Lions,9,9,63,Carlton,23,16,154,Gabba,-91,2012,Regular,2,,0
13970,7/04/2012,R2,Essendon,16,15,111,Port Adelaide,13,8,86,Docklands,25,2012,Regular,2,,0
13971,7/04/2012,R2,Sydney,14,10,94,Fremantle,12,9,81,S.C.G.,13,2012,Regular,2,,0
13972,7/04/2012,R2,West Coast,25,16,166,Melbourne,9,4,58,Subiaco,108,2012,Regular,2,,0
13973,7/04/2012,R2,Adelaide,11,16,82,Footscray,9,10,64,Football Park,18,2012,Regular,2,,0
13974,7/04/2012,R2,Collingwood,12,13,85,Richmond,8,16,64,M.C.G.,21,2012,Regular,2,,0
13975,8/04/2012,R2,North Melbourne,28,15,183,GWS,8,6,54,Bellerive Oval,129,2012,Regular,2,,0
13976,8/04/2012,R2,St Kilda,21,13,139,Gold Coast,7,5,47,Docklands,92,2012,Regular,2,,0
13977,9/04/2012,R2,Geelong,14,8,92,Hawthorn,13,12,90,M.C.G.,2,2012,Regular,2,,0
13978,13/04/2012,R3,Carlton,18,14,122,Collingwood,9,8,62,M.C.G.,60,2012,Regular,3,,0
13979,14/04/2012,R3,Richmond,20,13,133,Melbourne,11,8,74,M.C.G.,59,2012,Regular,3,,0
13980,14/04/2012,R3,Port Adelaide,12,11,83,Sydney,16,9,105,Football Park,-22,2012,Regular,3,,0
13981,14/04/2012,R3,Fremantle,8,16,64,Brisbane Lions,5,5,35,Subiaco,29,2012,Regular,3,,0
13982,14/04/2012,R3,Gold Coast,13,10,88,Essendon,15,15,105,Carrara,-17,2012,Regular,3,,0
13983,14/04/2012,R3,Footscray,5,10,40,St Kilda,15,13,103,Docklands,-63,2012,Regular,3,,0
13984,15/04/2012,R3,GWS,10,9,69,West Coast,23,12,150,Blacktown,-81,2012,Regular,3,,0
13985,15/04/2012,R3,Hawthorn,21,14,140,Adelaide,12,12,84,M.C.G.,56,2012,Regular,3,,0
13986,15/04/2012,R3,North Melbourne,20,11,131,Geelong,16,18,114,Docklands,17,2012,Regular,3,,0
13987,20/04/2012,R4,St Kilda,11,13,79,Fremantle,14,8,92,Docklands,-13,2012,Regular,4,,0
13988,21/04/2012,R4,Carlton,11,13,79,Essendon,15,19,109,M.C.G.,-30,2012,Regular,4,,0
13989,21/04/2012,R4,Collingwood,14,13,97,Port Adelaide,10,13,73,Docklands,24,2012,Regular,4,,0
13990,21/04/2012,R4,Adelaide,13,18,96,GWS,7,8,50,Football Park,46,2012,Regular,4,,0
13991,21/04/2012,R4,West Coast,5,21,51,Hawthorn,5,16,46,Subiaco,5,2012,Regular,4,,0
13992,21/04/2012,R4,Brisbane Lions,17,9,111,Gold Coast,6,10,46,Gabba,65,2012,Regular,4,,0
13993,22/04/2012,R4,Geelong,11,9,75,Richmond,9,11,65,Kardinia Park,10,2012,Regular,4,,0
13994,22/04/2012,R4,Sydney,17,11,113,North Melbourne,10,17,77,S.C.G.,36,2012,Regular,4,,0
13995,22/04/2012,R4,Melbourne,9,13,67,Footscray,13,10,88,M.C.G.,-21,2012,Regular,4,,0
13996,25/04/2012,R5,Collingwood,11,14,80,Essendon,11,13,79,M.C.G.,1,2012,Regular,5,,0
13997,27/04/2012,R5,Fremantle,7,15,57,Carlton,10,5,65,Subiaco,-8,2012,Regular,5,,0
13998,28/04/2012,R5,GWS,9,8,62,Footscray,15,14,104,Manuka Oval,-42,2012,Regular,5,,0
13999,28/04/2012,R5,North Melbourne,17,25,127,Gold Coast,13,15,93,Docklands,34,2012,Regular,5,,0
14000,28/04/2012,R5,Melbourne,10,6,66,St Kilda,12,12,84,M.C.G.,-18,2012,Regular,5,,0
14001,28/04/2012,R5,Brisbane Lions,4,17,41,Geelong,12,7,79,Gabba,-38,2012,Regular,5,,0
14002,29/04/2012,R5,Hawthorn,10,9,69,Sydney,16,10,106,York Park,-37,2012,Regular,5,,0
14003,29/04/2012,R5,Richmond,14,13,97,West Coast,16,11,107,Docklands,-10,2012,Regular,5,,0
14004,29/04/2012,R5,Adelaide,16,14,110,Port Adelaide,14,7,91,Football Park,19,2012,Regular,5,,0
14005,4/05/2012,R6,Footscray,11,11,77,Collingwood,15,8,98,Docklands,-21,2012,Regular,6,,0
14006,5/05/2012,R6,Essendon,19,15,129,Brisbane Lions,9,8,62,Docklands,67,2012,Regular,6,,0
14007,5/05/2012,R6,Geelong,17,17,119,Melbourne,11,10,76,Kardinia Park,43,2012,Regular,6,,0
14008,5/05/2012,R6,Gold Coast,14,3,87,Fremantle,14,10,94,Carrara,-7,2012,Regular,6,,0
14009,5/05/2012,R6,Sydney,14,10,94,Adelaide,15,9,99,S.C.G.,-5,2012,Regular,6,,0
14010,5/05/2012,R6,St Kilda,13,10,88,Hawthorn,18,15,123,M.C.G.,-35,2012,Regular,6,,0
14011,6/05/2012,R6,Carlton,15,20,110,GWS,6,7,43,Docklands,67,2012,Regular,6,,0
14012,6/05/2012,R6,Port Adelaide,8,6,54,Richmond,13,13,91,Football Park,-37,2012,Regular,6,,0
14013,6/05/2012,R6,West Coast,17,18,120,North Melbourne,15,5,95,Subiaco,25,2012,Regular,6,,0
14014,11/05/2012,R7,Melbourne,6,13,49,Hawthorn,15,25,115,M.C.G.,-66,2012,Regular,7,,0
14015,12/05/2012,R7,Adelaide,19,8,122,Geelong,10,12,72,Football Park,50,2012,Regular,7,,0
14016,12/05/2012,R7,GWS,13,16,94,Gold Coast,9,13,67,Manuka Oval,27,2012,Regular,7,,0
14017,12/05/2012,R7,Richmond,13,13,91,Sydney,8,14,62,M.C.G.,29,2012,Regular,7,,0
14018,12/05/2012,R7,Brisbane Lions,8,10,58,Collingwood,17,14,116,Gabba,-58,2012,Regular,7,,0
14019,12/05/2012,R7,Essendon,16,17,113,West Coast,7,10,52,Docklands,61,2012,Regular,7,,0
14020,13/05/2012,R7,North Melbourne,12,11,83,Footscray,15,11,101,Docklands,-18,2012,Regular,7,,0
14021,13/05/2012,R7,Fremantle,12,15,87,Port Adelaide,7,5,47,Subiaco,40,2012,Regular,7,,0
14022,14/05/2012,R7,St Kilda,19,8,122,Carlton,14,14,98,Docklands,24,2012,Regular,7,,0
14023,18/05/2012,R8,Collingwood,14,12,96,Geelong,11,18,84,M.C.G.,12,2012,Regular,8,,0
14024,19/05/2012,R8,Port Adelaide,14,11,95,North Melbourne,14,9,93,Football Park,2,2012,Regular,8,,0
14025,19/05/2012,R8,Hawthorn,17,17,119,Fremantle,9,9,63,York Park,56,2012,Regular,8,,0
14026,19/05/2012,R8,Sydney,21,12,138,Melbourne,5,7,37,S.C.G.,101,2012,Regular,8,,0
14027,19/05/2012,R8,Footscray,9,18,72,Gold Coast,4,10,34,Marrara Oval,38,2012,Regular,8,,0
14028,19/05/2012,R8,Essendon,19,14,128,Richmond,15,19,109,M.C.G.,19,2012,Regular,8,,0
14029,20/05/2012,R8,Brisbane Lions,19,18,132,GWS,5,10,40,Gabba,92,2012,Regular,8,,0
14030,20/05/2012,R8,Carlton,8,7,55,Adelaide,19,10,124,Docklands,-69,2012,Regular,8,,0
14031,20/05/2012,R8,West Coast,18,13,121,St Kilda,13,13,91,Subiaco,30,2012,Regular,8,,0
14032,25/05/2012,R9,Footscray,11,9,75,Geelong,14,11,95,Docklands,-20,2012,Regular,9,,0
14033,26/05/2012,R9,Richmond,21,11,137,Hawthorn,10,15,75,M.C.G.,62,2012,Regular,9,,0
14034,26/05/2012,R9,Gold Coast,10,10,70,Port Adelaide,17,16,118,Carrara,-48,2012,Regular,9,,0
14035,26/05/2012,R9,St Kilda,16,15,111,Sydney,12,11,83,Docklands,28,2012,Regular,9,,0
14036,26/05/2012,R9,Adelaide,6,13,49,Collingwood,10,15,75,Football Park,-26,2012,Regular,9,,0
14037,26/05/2012,R9,GWS,7,11,53,Essendon,18,11,119,Sydney Showground,-66,2012,Regular,9,,0
14038,27/05/2012,R9,North Melbourne,17,10,112,Brisbane Lions,15,6,96,Docklands,16,2012,Regular,9,,0
14039,27/05/2012,R9,Carlton,15,17,107,Melbourne,6,13,49,M.C.G.,58,2012,Regular,9,,0
14040,27/05/2012,R9,West Coast,11,18,84,Fremantle,5,6,36,Subiaco,48,2012,Regular,9,,0
14041,1/06/2012,R10,St Kilda,16,17,113,Richmond,18,13,121,Docklands,-8,2012,Regular,10,,0
14042,2/06/2012,R10,Geelong,19,12,126,GWS,9,7,61,Kardinia Park,65,2012,Regular,10,,0
14043,2/06/2012,R10,Hawthorn,27,12,174,North Melbourne,9,5,59,York Park,115,2012,Regular,10,,0
14044,2/06/2012,R10,Fremantle,12,10,82,Adelaide,17,9,111,Subiaco,-29,2012,Regular,10,,0
14045,2/06/2012,R10,Port Adelaide,14,15,99,Carlton,6,9,45,Football Park,54,2012,Regular,10,,0
14046,2/06/2012,R10,Essendon,6,16,52,Melbourne,8,10,58,M.C.G.,-6,2012,Regular,10,,0
14047,3/06/2012,R10,Brisbane Lions,16,6,102,West Coast,15,10,100,Gabba,2,2012,Regular,10,,0
14048,3/06/2012,R10,Sydney,20,12,132,Footscray,5,10,40,S.C.G.,92,2012,Regular,10,,0
14049,3/06/2012,R10,Collingwood,23,11,149,Gold Coast,7,10,52,M.C.G.,97,2012,Regular,10,,0
14050,8/06/2012,R11,Carlton,11,19,85,Geelong,14,13,97,Docklands,-12,2012,Regular,11,,0
14051,9/06/2012,R11,Richmond,9,12,66,Fremantle,12,6,78,M.C.G.,-12,2012,Regular,11,,0
14052,9/06/2012,R11,Gold Coast,7,7,49,St Kilda,21,18,144,Carrara,-95,2012,Regular,11,,0
14053,9/06/2012,R11,Essendon,11,16,82,Sydney,13,8,86,Docklands,-4,2012,Regular,11,,0
